name,age,salary
Audrea Lagunas,55,4165.29
Margy Radice,55,2405.46
Shauna Rizer,55,1873.45
Tracee Koehler,55,2850.42
Brigida Nicholson,54,5634.0
Lavette Bias,54,5293.52
Jaime Kall,53,2122.81
Jaime Kall,53,6256.07
Natividad Marchand,53,1872.64
Natividad Marchand,53,5092.29
Aubrey Thomure,52,1475.55
Dania Gagliardi,52,4248.28
Iraida Rodrigues,52,3269.13
Johnsie Hunt,52,3432.25
Lawanda Zerr,52,1100.08
Saturnina Guild,52,3247.25
Sherrill Epping,52,4319.0
Stevie Oliveira,52,2300.39
Aubrey Thomure,51,687.48
Ebonie Kittleson,51,5341.88
Terisa Greene,51,4750.29
Jaime Kall,50,4146.2
Janeth Debelak,50,1006.95
Lavon Mestayer,50,1208.47
Mica Guerro,50,1280.07
Amal Claytor,49,6825.98
Johnsie Hunt,49,5297.43
Odis Hurn,49,1033.65
Tu Hosein,49,186.46
Vincent Storlie,49,3200.37
Johnsie Hunt,48,4491.75
Lavon Mestayer,48,4644.64
Malika Luthy,48,4350.88
Jaquelyn Weis,47,5697.17
Lavette Bias,47,6185.44
Lavon Mestayer,47,182.9
Layne Noren,47,2485.58
Lory Stallone,47,3950.49
Leia Tibbets,46,5848.34
Sherrill Epping,46,3625.92
Tu Hosein,46,6770.82
Amal Claytor,45,88.07
Haywood Rimer,45,5322.48
Jaime Kall,45,6095.86
Luna Ruther,45,3912.55
Deena Willcutt,44,3937.31
Jamey Burks,44,6423.16
Layne Noren,44,577.76
Minh Fly,44,5757.02
Nannie Milardo,44,4154.89
Audrea Lagunas,43,3587.1
Luna Ruther,43,1115.54
Margy Radice,43,793.86
Odis Hurn,43,3374.32
Haywood Rimer,42,408.75
Jaquelyn Weis,42,1002.8
Stevie Oliveira,42,1956.78
Iraida Rodrigues,41,6945.98
Julietta Hackenberg,41,4883.6
Kala Ceron,41,2510.65
Modesto Galvin,41,2632.69
Rose Pino,41,2359.34
Astrid Weyant,40,1925.05
Minh Fly,40,2297.65
Tommy Childs,40,6152.22
Bethanie Barley,39,2996.23
Lory Stallone,39,2530.85
Johnsie Hunt,38,3600.22
Minh Fly,38,5871.67
Rose Pino,38,2908.25
Shizuko Brookshire,38,6719.87
Audrea Lagunas,37,4616.59
Bethanie Barley,37,3711.0
Deena Willcutt,37,3518.01
Deena Willcutt,37,6058.67
Malika Luthy,37,6874.71
Rose Pino,37,5255.46
Brigida Nicholson,36,5123.21
Kala Ceron,36,5.06
Leia Tibbets,36,2737.97
Nannie Milardo,36,5165.45
Shizuko Brookshire,36,4076.42
Celia Kuo,34,4166.73
Janeth Debelak,34,6324.3
Luna Ruther,34,3308.19
Minh Fly,34,2011.11
Nannie Milardo,34,6772.51
Stevie Oliveira,34,3616.8
Tu Hosein,34,586.86
Bethanie Barley,33,4751.38
Jamey Burks,33,3110.07
Kala Ceron,33,4030.28
Lawanda Zerr,33,3961.62
Leia Tibbets,33,919.18
Terisa Greene,33,6007.49
Dorinda Harger,32,5760.78
Leia Tibbets,31,4840.61
Mica Guerro,31,1232.43
Nannie Milardo,31,4661.15
Shizuko Brookshire,31,1774.83
Terisa Greene,31,4880.36
Tommy Childs,31,3133.86
Amal Claytor,30,5757.93
Natividad Marchand,30,6144.7
Rose Pino,30,1379.54
Tommy Childs,30,2761.83
